runtime E0 E1
0.868 0.970112 0.970112
0.869 0.958048 0.958048
0.87 0.946154 0.946154
0.871 0.934429 0.934429
0.872 0.922872 0.922872
0.873 0.911485 0.911485
0.874 0.900265 0.900265
0.875 0.889213 0.889213
0.876 0.878329 0.878329
0.877 0.867612 0.867612
0.878 0.857062 0.857062
0.879 0.846678 0.846678
0.88 0.83646 0.83646
0.881 0.826408 0.826408
0.882 0.816522 0.816522
0.883 0.806801 0.806801
0.884 0.797245 0.797245
0.885 0.787853 0.787853
0.886 0.778626 0.778626
0.887 0.769563 0.769563
0.888 0.760664 0.760664
0.889 0.751928 0.751928
0.89 0.743356 0.743356
0.891 0.734946 0.734946
0.892 0.726699 0.726699
0.893 0.718615 0.718615
0.894 0.710693 0.710693
0.895 0.702933 0.702933
0.896 0.695334 0.695334
0.897 0.687897 0.687897
0.898 0.680621 0.680621
0.899 0.673507 0.673507
0.9 0.666553 0.666553
0.901 0.659759 0.659759
0.902 0.653126 0.653126
0.903 0.646654 0.646654
0.904 0.640341 0.640341
0.905 0.634188 0.634188
0.906 0.628194 0.628194
0.907 0.62236 0.62236
0.908 0.616685 0.616685
0.909 0.611169 0.611169
0.91 0.605812 0.605812
0.911 0.600614 0.600614
0.912 0.595574 0.595574
0.913 0.590693 0.590693
0.914 0.585969 0.585969
0.915 0.581404 0.581404
0.916 0.576997 0.576997
0.917 0.572747 0.572747
0.918 0.568656 0.568656
0.919 0.564721 0.564721
0.92 0.560944 0.560944
0.921 0.557324 0.557324
0.922 0.553862 0.553862
0.923 0.550556 0.550556
0.924 0.547408 0.547408
0.925 0.544416 0.544416
0.926 0.541581 0.541581
0.927 0.538903 0.538903
0.928 0.536381 0.536381
0.929 0.534015 0.534015
0.93 0.531806 0.531806
0.931 0.529754 0.529754
0.932 0.527857 0.527857
0.933 0.526117 0.526117
0.934 0.524533 0.524533
0.935 0.523105 0.523105
0.936 0.521833 0.521833
0.937 0.520718 0.520718
0.938 0.519758 0.519758
0.939 0.518954 0.518954
0.94 0.518306 0.518306
0.941 0.517813 0.517813
0.942 0.517477 0.517477
0.943 0.517296 0.517296
0.944 0.517272 0.517272
0.945 0.517403 0.517403
0.946 0.51769 0.51769
0.947 0.518133 0.518133
0.948 0.518731 0.518731
0.949 0.519486 0.519486
0.95 0.520396 0.520396
0.951 0.521463 0.521463
0.952 0.522685 0.522685
0.953 0.524063 0.524063
0.954 0.525597 0.525597
0.955 0.527287 0.527287
0.956 0.529134 0.529134
0.957 0.531136 0.531136
0.958 0.533295 0.533295
0.959 0.53561 0.53561
0.96 0.538081 0.538081
0.961 0.540709 0.540709
0.962 0.543493 0.543493
0.963 0.546434 0.546434
0.964 0.549531 0.549531
0.965 0.552786 0.552786
0.966 0.556197 0.556197
0.967 0.559765 0.559765
0.968 0.56349 0.56349
0.969 0.567372 0.567372
0.97 0.571411 0.571411
0.971 0.575608 0.575608
0.972 0.579963 0.579963
0.973 0.584475 0.584475
0.974 0.589145 0.589145
0.975 0.593973 0.593973
0.976 0.598958 0.598958
0.977 0.604103 0.604103
0.978 0.609405 0.609405
0.979 0.614866 0.614866
0.98 0.620486 0.620486
0.981 0.626265 0.626265
0.982 0.632202 0.632202
0.983 0.638299 0.638299
0.984 0.644556 0.644556
0.985 0.650971 0.650971
0.986 0.657547 0.657547
0.987 0.664283 0.664283
0.988 0.671179 0.671179
0.989 0.678235 0.678235
0.99 0.685452 0.685452
0.991 0.69283 0.69283
0.992 0.700369 0.700369
0.993 0.708069 0.708069
0.994 0.715931 0.715931
0.995 0.723954 0.723954
0.996 0.732139 0.732139
0.997 0.740487 0.740487
0.998 0.748997 0.748997
0.999 0.75767 0.75767
1 0.766506 0.766506
