runtime x0 y0 x1 y1
0.437 8.924296 11.121011 11.075704 8.878989
0.438 8.924278 11.121634 11.075722 8.878366
0.439 8.924244 11.122273 11.075756 8.877727
0.44 8.924194 11.122929 11.075806 8.877071
0.441 8.924128 11.123601 11.075872 8.876399
0.442 8.924047 11.124290 11.075953 8.875710
0.443 8.923950 11.124995 11.076050 8.875005
0.444 8.923837 11.125716 11.076163 8.874284
0.445 8.923709 11.126454 11.076291 8.873546
0.446 8.923566 11.127207 11.076434 8.872793
0.447 8.923408 11.127976 11.076592 8.872024
0.448 8.923235 11.128761 11.076765 8.871239
0.449 8.923047 11.129561 11.076953 8.870439
0.45 8.922844 11.130377 11.077156 8.869623
0.451 8.922627 11.131207 11.077373 8.868793
0.452 8.922396 11.132053 11.077604 8.867947
0.453 8.922150 11.132914 11.077850 8.867086
0.454 8.921891 11.133789 11.078109 8.866211
0.455 8.921617 11.134679 11.078383 8.865321
0.456 8.921330 11.135583 11.078670 8.864417
0.457 8.921030 11.136501 11.078970 8.863499
0.458 8.920716 11.137433 11.079284 8.862567
0.459 8.920390 11.138379 11.079610 8.861621
0.46 8.920050 11.139339 11.079950 8.860661
0.461 8.919698 11.140312 11.080302 8.859688
0.462 8.919333 11.141298 11.080667 8.858702
0.463 8.918956 11.142297 11.081044 8.857703
0.464 8.918566 11.143310 11.081434 8.856690
0.465 8.918165 11.144334 11.081835 8.855666
0.466 8.917752 11.145372 11.082248 8.854628
0.467 8.917327 11.146421 11.082673 8.853579
0.468 8.916891 11.147483 11.083109 8.852517
0.469 8.916444 11.148556 11.083556 8.851444
0.47 8.915985 11.149641 11.084015 8.850359
0.471 8.915516 11.150738 11.084484 8.849262
0.472 8.915036 11.151845 11.084964 8.848155
0.473 8.914546 11.152964 11.085454 8.847036
0.474 8.914046 11.154094 11.085954 8.845906
0.475 8.913536 11.155234 11.086464 8.844766
0.476 8.913015 11.156385 11.086985 8.843615
0.477 8.912486 11.157546 11.087514 8.842454
0.478 8.911946 11.158717 11.088054 8.841283
0.479 8.911398 11.159898 11.088602 8.840102
0.48 8.910840 11.161088 11.089160 8.838912
0.481 8.910274 11.162288 11.089726 8.837712
0.482 8.909699 11.163497 11.090301 8.836503
0.483 8.909116 11.164715 11.090884 8.835285
0.484 8.908524 11.165942 11.091476 8.834058
0.485 8.907924 11.167178 11.092076 8.832822
0.486 8.907316 11.168421 11.092684 8.831579
0.487 8.906701 11.169674 11.093299 8.830326
0.488 8.906078 11.170934 11.093922 8.829066
0.489 8.905448 11.172202 11.094552 8.827798
0.49 8.904811 11.173478 11.095189 8.826522
0.491 8.904166 11.174761 11.095834 8.825239
0.492 8.903515 11.176051 11.096485 8.823949
0.493 8.902858 11.177348 11.097142 8.822652
0.494 8.902194 11.178653 11.097806 8.821347
0.495 8.901523 11.179964 11.098477 8.820036
0.496 8.900847 11.181281 11.099153 8.818719
0.497 8.900165 11.182605 11.099835 8.817395
0.498 8.899477 11.183935 11.100523 8.816065
0.499 8.898784 11.185271 11.101216 8.814729
0.5 8.898085 11.186612 11.101915 8.813388
0.501 8.897381 11.187960 11.102619 8.812040
0.502 8.896672 11.189312 11.103328 8.810688
0.503 8.895958 11.190670 11.104042 8.809330
0.504 8.895239 11.192033 11.104761 8.807967
0.505 8.894516 11.193401 11.105484 8.806599
0.506 8.893789 11.194774 11.106211 8.805226
0.507 8.893057 11.196151 11.106943 8.803849
0.508 8.892321 11.197532 11.107679 8.802468
0.509 8.891581 11.198918 11.108419 8.801082
0.51 8.890837 11.200308 11.109163 8.799692
0.511 8.890090 11.201702 11.109910 8.798298
0.512 8.889339 11.203100 11.110661 8.796900
0.513 8.888585 11.204501 11.111415 8.795499
0.514 8.887828 11.205906 11.112172 8.794094
0.515 8.887068 11.207314 11.112932 8.792686
0.516 8.886304 11.208725 11.113696 8.791275
0.517 8.885538 11.210140 11.114462 8.789860
0.518 8.884770 11.211557 11.115230 8.788443
0.519 8.883998 11.212977 11.116002 8.787023
0.52 8.883224 11.214400 11.116776 8.785600
0.521 8.882448 11.215825 11.117552 8.784175
0.522 8.881670 11.217252 11.118330 8.782748
0.523 8.880890 11.218682 11.119110 8.781318
0.524 8.880108 11.220114 11.119892 8.779886
0.525 8.879324 11.221547 11.120676 8.778453
0.526 8.878538 11.222983 11.121462 8.777017
0.527 8.877751 11.224420 11.122249 8.775580
0.528 8.876962 11.225859 11.123038 8.774141
0.529 8.876172 11.227300 11.123828 8.772700
0.53 8.875381 11.228741 11.124619 8.771259
0.531 8.874589 11.230184 11.125411 8.769816
0.532 8.873795 11.231628 11.126205 8.768372
0.533 8.873001 11.233074 11.126999 8.766926
0.534 8.872206 11.234520 11.127794 8.765480
0.535 8.871410 11.235966 11.128590 8.764034
0.536 8.870613 11.237414 11.129387 8.762586
0.537 8.869816 11.238862 11.130184 8.761138
0.538 8.869018 11.240311 11.130982 8.759689
0.539 8.868220 11.241760 11.131780 8.758240
0.54 8.867422 11.243209 11.132578 8.756791
0.541 8.866624 11.244659 11.133376 8.755341
0.542 8.865825 11.246108 11.134175 8.753892
0.543 8.865027 11.247558 11.134973 8.752442
0.544 8.864228 11.249008 11.135772 8.750992
0.545 8.863430 11.250457 11.136570 8.749543
0.546 8.862632 11.251906 11.137368 8.748094
0.547 8.861834 11.253355 11.138166 8.746645
0.548 8.861037 11.254804 11.138963 8.745196
0.549 8.860240 11.256251 11.139760 8.743749
0.55 8.859443 11.257699 11.140557 8.742301
0.551 8.858647 11.259146 11.141353 8.740854
0.552 8.857852 11.260592 11.142148 8.739408
0.553 8.857058 11.262037 11.142942 8.737963
0.554 8.856264 11.263481 11.143736 8.736519
0.555 8.855471 11.264924 11.144529 8.735076
0.556 8.854679 11.266367 11.145321 8.733633
0.557 8.853888 11.267808 11.146112 8.732192
0.558 8.853099 11.269248 11.146901 8.730752
0.559 8.852310 11.270687 11.147690 8.729313
0.56 8.851522 11.272124 11.148478 8.727876
0.561 8.850736 11.273561 11.149264 8.726439
0.562 8.849951 11.274995 11.150049 8.725005
0.563 8.849167 11.276429 11.150833 8.723571
0.564 8.848385 11.277860 11.151615 8.722140
0.565 8.847604 11.279291 11.152396 8.720709
0.566 8.846825 11.280719 11.153175 8.719281
0.567 8.846047 11.282146 11.153953 8.717854
0.568 8.845270 11.283571 11.154730 8.716429
0.569 8.844496 11.284994 11.155504 8.715006
0.57 8.843723 11.286416 11.156277 8.713584
0.571 8.842951 11.287835 11.157049 8.712165
0.572 8.842182 11.289253 11.157818 8.710747
0.573 8.841414 11.290668 11.158586 8.709332
0.574 8.840648 11.292081 11.159352 8.707919
0.575 8.839885 11.293493 11.160115 8.706507
0.576 8.839123 11.294902 11.160877 8.705098
0.577 8.838362 11.296309 11.161638 8.703691
0.578 8.837604 11.297714 11.162396 8.702286
